date,ticker,price
2024-01-01,AAPL,149.65413309383246
2024-01-02,AAPL,149.2253801330226
2024-01-03,AAPL,148.61537770526576
2024-01-04,AAPL,149.27467669418903
2024-01-05,AAPL,150.00534803735098
2024-01-06,AAPL,149.37080957663238
2024-01-07,AAPL,149.41559808519585
2024-01-08,AAPL,147.75924737574155
2024-01-09,AAPL,148.21494109387723
2024-01-10,AAPL,147.58424169264907
2024-01-11,AAPL,147.83342433613416
2024-01-12,AAPL,147.8262427486134
2024-01-13,AAPL,147.67301996863193
2024-01-14,AAPL,148.21225918934886
2024-01-15,AAPL,147.4762534235515
2024-01-16,AAPL,147.53773795954103
2024-01-17,AAPL,147.13338004478206
2024-01-18,AAPL,146.83519705171
2024-01-19,AAPL,147.7880589241062
2024-01-20,AAPL,146.18575009599982
