date,ticker,price
2024-01-01,AAPL,152.33096202738972
2024-01-02,AAPL,154.31070255940233
2024-01-03,AAPL,153.9979217337507
2024-01-04,AAPL,152.8095503066355
2024-01-05,AAPL,151.7600138171785
2024-01-06,AAPL,151.78289647094954
2024-01-07,AAPL,151.5735998237735
2024-01-08,AAPL,151.1839026250009
2024-01-09,AAPL,151.2041536792079
2024-01-10,AAPL,150.91724477409878
2024-01-11,AAPL,147.98249062557895
2024-01-12,AAPL,148.5754016339275
2024-01-13,AAPL,147.71892034171833
2024-01-14,AAPL,148.42107016611493
2024-01-15,AAPL,148.74337264968707
2024-01-16,AAPL,148.86877317344855
2024-01-17,AAPL,149.57589109457498
2024-01-18,AAPL,151.3867498579448
2024-01-19,AAPL,149.67222532286712
2024-01-20,AAPL,150.05173430042026
